Frequency H/V Low_err Upp_err Coherence
-8.49462365591 0.437029325051 0.286898939815 0.640460977372 0.336627111176
-8.47507331378 0.436980904996 0.285708994335 0.652258101514 0.336876087831
-8.45552297165 0.441306885264 0.288355963384 0.661136877886 0.336654158305
-8.43597262952 0.443724002795 0.290066114111 0.662804887781 0.335170900253
-8.41642228739 0.446229625408 0.29846658075 0.671273447134 0.334165380409
-8.39687194526 0.448549775944 0.304991195267 0.668618848262 0.333021308301
-8.37732160313 0.452053003369 0.311630232184 0.673153193487 0.335333717313
-8.357771261 0.455998857625 0.309967178914 0.672167363405 0.334913465284
-8.33822091887 0.459180425991 0.313676304677 0.680894537923 0.3350535408
-8.31867057674 0.461216273654 0.316663520672 0.688197442672 0.335584885067
-8.2991202346 0.462347004797 0.321414293492 0.686492150189 0.336327939022
